"Gene"	"effect.size"	"p.value"	"q.value"	"Mean"	"CV2"	"TechNoise"	"BioVar"	"Stable"
"1"	"AT2G41260"	10.0916788154883	0	0	5.71428571428571	10.1836538461538	0.091975030665584	10.0916788154883	10.1737854648268
"2"	"AT5G27889"	3.24423479076402	0	0	19	3.27381206051566	0.0295772697516402	3.24423479076402	3.26988632308518
"3"	"ATCG01070"	2.19584031258023	0	0	6.35714285714286	2.27879152787624	0.0829512152960068	2.19584031258023	2.26978255753677
"4"	"ATCG01080"	2.17623385081535	0	0	8.07142857142857	2.24214895449918	0.0659151036838256	2.17623385081535	2.23476247097991
"5"	"AT3G02480"	2.16012165137255	0	0	6.14285714285714	2.2458709489537	0.085749297581147	2.16012165137255	2.23659549458707
"6"	"ATCG00650"	1.64948051834404	0	0	7.07142857142857	1.72432954251136	0.0748490241673179	1.64948051834404	1.71609220942224
"7"	"ATCG01060"	1.48920875658496	0	0	13.2142857142857	1.53053660729336	0.0413278507084073	1.48920875658496	1.52549176691462
"8"	"AT3G20395"	1.2183002874877	0	0	12.9285714285714	1.26048091891625	0.0421806314285492	1.2183002874877	1.25535486132606
"9"	"AT1G31258"	1.20530469803852	0	0	43.2142857142857	1.2198439576952	0.0145392596566775	1.20530469803852	1.21735041170233
"10"	"ATCG00580"	1.17870065815454	0	0	24.0714285714286	1.20262368455097	0.0239230263964313	1.17870065815454	1.19923644648765
"11"	"ATCG00070"	1.06307293941139	0	0	30.9285714285714	1.08229939233358	0.0192264529221896	1.06307293941139	1.07935944698209
"12"	"AT5G45430"	1.05770472473849	0	0	28.7142857142857	1.0782025578194	0.0204978330809117	1.05770472473849	1.07514152864327
"13"	"AT1G13609"	1.03566186130177	0	0	18.1428571428571	1.06650705609104	0.0308451947892616	1.03566186130177	1.06246056389506
"14"	"AT1G43800"	1.00774187050073	0	0	11.2142857142857	1.05595171593792	0.0482098454371956	1.00774187050073	1.05025144748977
"15"	"AT2G14247"	0.983860834705085	0	0	29.7857142857143	1.00371987965798	0.0198590449528929	0.983860834705085	1.00071968744642
"16"	"ATCG01020"	0.951940247765746	0	0	74.7857142857143	0.961498147777406	0.00955790001166006	0.951940247765746	0.959479016988825
"17"	"AT4G19112"	0.916859980029077	0	0	11.5714285714286	0.963666420456544	0.046806440427467	0.916859980029077	0.958099809628362
"18"	"ATCG01050"	0.905132867892989	0	0	5.64285714285714	0.998237461945201	0.0931045940522118	0.905132867892989	0.988261503152757
"19"	"AT4G26055"	0.893379763150828	0	0	7.14285714285714	0.967507692307692	0.0741279291568646	0.893379763150828	0.959339034933853
"20"	"AT1G01046"	0.868072438528923	0	0	5.21428571428571	0.968604298684989	0.100531860156066	0.868072438528923	0.957920981215988
"21"	"ATCG00440"	0.856718723661889	0	0	6	0.944444444444444	0.0877257207825556	0.856718723661889	0.93498075929673
"22"	"ATCG00680"	0.820413112409001	0	0	27.1428571428571	0.841939058171745	0.0215259457627442	0.820413112409001	0.838780113502108
"23"	"ATCG00520"	0.807186006107006	0	0	10.7857142857143	0.857202619318316	0.0500166132113099	0.807186006107006	0.851330277748815
"24"	"AT5G50562"	0.788671036165831	0	0	26.2857142857143	0.810809582666861	0.0221385465010298	0.788671036165831	0.807592295069768
"25"	"AT1G47400"	0.786345402370414	0	0	20.5714285714286	0.813872566476733	0.0275271641063195	0.786345402370414	0.810142077202946
"26"	"AT2G07732"	0.775389925902745	0	0	52.7142857142857	0.787802674774715	0.0124127488719704	0.775389925902745	0.785511653618485
"27"	"ATCG00130"	0.775354402452416	0	0	20.6428571428571	0.802795796174707	0.0274413937222906	0.775354402452416	0.799073475508923
"28"	"AT5G57080"	0.771053529123225	0	0	18.0714285714286	0.802009813523819	0.0309562844005947	0.771053529123225	0.797952741364863
"29"	"AT2G41240"	0.763866573282681	0	0	9.28571428571429	0.821520254893036	0.0576536816103544	0.763866573282681	0.814920573476007
"30"	"ATCG00905"	0.754512686604984	0	0	11.2142857142857	0.80272253204218	0.0482098454371956	0.754512686604984	0.797022263594024
"31"	"ATCG01100"	0.74130898756259	0	0	6.14285714285714	0.827058285143737	0.085749297581147	0.74130898756259	0.817782830777109
"32"	"AT2G40205"	0.735574134080547	0	0	265.571428571429	0.740233732674155	0.00465959859360817	0.735574134080547	0.738681106782531
